"CIRCOSCRIZIONE","COLLEGIO_UNINOMINALE","DESCR_LISTA","CANDIDATO","DATA_NASCITA","LUOGO_NASCITA"
"PIEMONTE 1","PIEMONTE 1 - U05 (MONCALIERI)","ALLEANZA VERDI E SINISTRA","CARMEN BONINO","29/05/1960","QUILIANO (SV)"
"PIEMONTE 1","PIEMONTE 1 - U05 (MONCALIERI)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","CARMEN BONINO","29/05/1960","QUILIANO (SV)"
"PIEMONTE 1","PIEMONTE 1 - U05 (MONCALIERI)","VITA","ANNARITA PLATANIA","21/08/1963","TORINO"
"PIEMONTE 1","PIEMONTE 1 - U05 (MONCALIERI)","UNIONE POPOLARE CON DE MAGISTRIS","MARCO SCIBONA","08/06/1967","WALD (SVIZZERA)"
"PIEMONTE 2","PIEMONTE 2 - U02 (NOVARA)","AZIONE - ITALIA VIVA - CALENDA","VITTORIO BARAZZOTTO","20/11/1958","BIELLA"
"PIEMONTE 2","PIEMONTE 2 - U02 (NOVARA)","UNIONE POPOLARE CON DE MAGISTRIS","DANIELE CHERUBIN","05/08/1961","GALLIATE (NO)"
"PIEMONTE 2","PIEMONTE 2 - U02 (NOVARA)"," +EUROPA","EMANUELA ALLEGRA DETTA MILU'","02/12/1966","NOVARA"
"PIEMONTE 2","PIEMONTE 2 - U02 (NOVARA)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","EMANUELA ALLEGRA DETTA MILU'","02/12/1966","NOVARA"
"PIEMONTE 2","PIEMONTE 2 - U02 (NOVARA)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","EMANUELA ALLEGRA DETTA MILU'","02/12/1966","NOVARA"
"PIEMONTE 2","PIEMONTE 2 - U02 (NOVARA)","ALLEANZA VERDI E SINISTRA","EMANUELA ALLEGRA DETTA MILU'","02/12/1966","NOVARA"
"PIEMONTE 2","PIEMONTE 2 - U02 (NOVARA)","MOVIMENTO 5 STELLE","MARIO IACOPINO","09/07/1983","REGGIO CALABRIA "
"PIEMONTE 2","PIEMONTE 2 - U02 (NOVARA)","FRATELLI D'ITALIA CON GIORGIA MELONI","ALBERTO  LUIGI GUSMEROLI","27/02/1961","VARESE"
"PIEMONTE 2","PIEMONTE 2 - U02 (NOVARA)","LEGA PER SALVINI PREMIER","ALBERTO  LUIGI GUSMEROLI","27/02/1961","VARESE"
"PIEMONTE 2","PIEMONTE 2 - U02 (NOVARA)","FORZA ITALIA","ALBERTO  LUIGI GUSMEROLI","27/02/1961","VARESE"
"PIEMONTE 2","PIEMONTE 2 - U02 (NOVARA)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ALBERTO  LUIGI GUSMEROLI","27/02/1961","VARESE"
"PIEMONTE 2","PIEMONTE 2 - U02 (NOVARA)","ITALIA SOVRANA E POPOLARE","MATTIA BIANCHI","26/04/1986","DOMODOSSOLA (VB)"
"PIEMONTE 2","PIEMONTE 2 - U02 (NOVARA)","ITALEXIT PER L'ITALIA","ELEONORA CHIODO","15/03/1995","CHIERI (TO)"
"PIEMONTE 2","PIEMONTE 2 - U03 (VERCELLI)","AZIONE - ITALIA VIVA - CALENDA","TERESA BARRESI","05/10/1966","BIELLA"
"PIEMONTE 2","PIEMONTE 2 - U03 (VERCELLI)","UNIONE POPOLARE CON DE MAGISTRIS","CINZIA LAMANNA","22/05/1960","MILANO"
"PIEMONTE 2","PIEMONTE 2 - U03 (VERCELLI)"," +EUROPA","MARIA MOCCIA DETTA MARIELLA","03/08/1964","VERCELLI"
"PIEMONTE 2","PIEMONTE 2 - U03 (VERCELLI)","PARTITO DEMOCRATICO - ITALIA DEMOCRATICA E PROGRESSISTA","MARIA MOCCIA DETTA MARIELLA","03/08/1964","VERCELLI"
"PIEMONTE 2","PIEMONTE 2 - U03 (VERCELLI)","IMPEGNO CIVICO LUIGI DI MAIO - CENTRO DEMOCRATICO","MARIA MOCCIA DETTA MARIELLA","03/08/1964","VERCELLI"
"PIEMONTE 2","PIEMONTE 2 - U03 (VERCELLI)","ALLEANZA VERDI E SINISTRA","MARIA MOCCIA DETTA MARIELLA","03/08/1964","VERCELLI"
"PIEMONTE 2","PIEMONTE 2 - U03 (VERCELLI)","MOVIMENTO 5 STELLE","GIUSEPPE PASCHETTO","23/04/1955","COSSATO (BI)"
"PIEMONTE 2","PIEMONTE 2 - U03 (VERCELLI)","FRATELLI D'ITALIA CON GIORGIA MELONI","ANDREA DELMASTRO DELLE VEDOVE","22/10/1976","GATTINARA (VC)"
"PIEMONTE 2","PIEMONTE 2 - U03 (VERCELLI)","LEGA PER SALVINI PREMIER","ANDREA DELMASTRO DELLE VEDOVE","22/10/1976","GATTINARA (VC)"
"PIEMONTE 2","PIEMONTE 2 - U03 (VERCELLI)","FORZA ITALIA","ANDREA DELMASTRO DELLE VEDOVE","22/10/1976","GATTINARA (VC)"
"PIEMONTE 2","PIEMONTE 2 - U03 (VERCELLI)","NOI MODERATI/LUPI - TOTI - BRUGNARO - UDC","ANDREA DELMASTRO DELLE VEDOVE","22/10/1976","GATTINARA (VC)"
